Chem_name,SimpleTruth,Dial,Dove,Native,S1_Cntrl_201103,S1_Cntrl_201110,S1_Cntrl_201111,S1_Cntrl_201112,S1_SimpleTruth_201111,S1_Dial_201112,S1_Dove_201103,S1_Native_201110,S1SimpleTruth_210317,S1Dial_210317,S1Dove_210223,S1Native_210312,S1SimpleTruth_210318,S1Dial_210318,S1Dove_210317,S1Native_210317,S2_Cntrl_201117,S2_Cntrl_201125,S2_Cntrl_201208,S2_Cntrl_201209,S2_SimpleTruth_201117,S2_Dial_201209,S2_Dove_201208,S2_Native_211125,S2SimpleTruth_210303,S2Dial_210224,S2Dove_210224,S2Native_210303,S2SimpleTruth_210308,S2Dial_210308,S2Dove_210308,S2Native_210308,S3_Cntrl_201118,S3_Cntrl_201119,S3_Cntrl_201209,S3_Cntrl_201211,S3_SimpleTruth_201209,S3_Dial_201118,S3_Dove_201211,S3_Native_201119,S3SimpleTruth_210302,S3Dial_210311,S3Dove_210311,S3Native_210302,S3SimpleTruth_210309,S3Dial_210318,S3Dove_210318,S3Native_210309,S4_Cntrl_201204,S4_Cntrl_201207,S4_Cntrl_201201,S4_Cntrl_201203,S4_SimpleTruth_201203,S4_Dial_201204,S4_Dove_201207,S4_Native_201201,S4SimpleTruth_210223,S4Dial_210222,S4Dove_210222,S4Native_210223,S4SimpleTruth_210316,S4Dial_210226,S4Dove_210226,S4Native_210316,New_sample
"Cyclohexanol, 2-methyl-5-(1-methylethenyl)-, (1a,2a,5ß)-",0,0,0,0,0,0,0,0,0,0,0.117,0,0,0,0,1.1749999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1990000000000003,0,0,1.203,0.922,0,0,0,0,0,0,0,0,0,0,0,0.973,0,0,0,1.079,0,0,0,0
D-Limonene,8.629999999999999,86.54400000000001,62.62,11.958,0.28600000000000003,0.194,0,0.193,0,3.4410000000000003,0,0.19199999999999998,12.779,24.089,14.117999999999999,11.013,11.087,10.42,79.302,15.423,0,0,0,0,0,0,0.762,0,12.474,15.412999999999998,13.108,12.24,11.152,16.171,18.926000000000002,11.152,0,0,0,0,0,0,0,0,14.690000000000001,18.996,11.783999999999999,14.74,12.959,0,140.65699999999998,47.931,0,0,0,0,0,1.163,2.5740000000000003,0,15.326,120.322,15.280000000000001,78.941,10.83,12.325,13.036000000000001,9.882,8.629999999999999
Decanal,1.57,0,1.528,2.1339999999999999,0.96,1.065,2.136,0.8150000000000001,1.879,1.827,0.8400000000000001,0.959,4.38,4.0360000000000005,4.551,2.069,3.245,1.2759999999999998,16.088,1.8010000000000002,2.641,2.62,2.294,1.7910000000000001,1.662,2.882,2.804,4.4559999999999995,2.9530000000000003,5.409000000000001,4.16,4.062,5.667999999999999,5.244999999999999,6.3790000000000004,5.667999999999999,0.912,2.117,3.126,1.681,2.419,1.4749999999999999,1.387,0.782,18.844,5.558999999999999,3.173,1.937,6.4,1.4749999999999999,13.246,31.720000000000002,0.761,2.0060000000000002,1.172,1.172,0.842,1.3439999999999999,0.953,2.0949999999999998,2.745,19.922,2.233,11.767000000000001,1.353,1.757,1.565,1.8559999999999999,1.57
"Ethanol, 2-phenoxy-",0,0,5.305,0,0,0,0,0,0,0,0.9410000000000001,0,0,0,7.865,0,0,0,20.378,0,0,0,0,0,0,0,0,0,0,0,0.6819999999999999,0,0,0,2.821,0,0,0,0,0,0,0,0.66,0,0,0,1.07,0,0,0,16.226,0,0,0,0,0,0,0,2.7700000000000005,0,0,0,1.186,0,0,0,0.54,0,0
Hexadecane,1.1379999999999999,5.776,0,0,0,0,0,0,0,0,0,0,0,1.016,0,0,0,0,0,0,0,0,0,0,0,0.8599999999999999,2.241,0,0,1.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9769999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.33099999999999996,0,0,0,3.065,0,0,0,0.683,0,0,1.1379999999999999
"Indan-1,3-diol monoacetate",0,0,0,0,0.248,0,0,0,0,0,0.149,0,1.079,0,0,0.45499999999999996,0.665,0,0,0,0.154,0.11499999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-a-Terpineol,0,0,0,0,0,0,0,0,0,0,0,0,0.609,0,0,0,1.9500000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilial,0,6.166,0,0,0,0,0,0,0,6.3580000000000005,0,0,0,22.883,0,0,0,5.225,4.175,0,0,0,0,0,0,13.581000000000001,0,0.123,0,32.894999999999996,0.5589999999999999,0,0,8.454,0,0,0,0.509,0.092,0.124,0.1,5.7330000000000005,0,0,0,2.5669999999999997,0,0,0,5.7330000000000005,0,0,0,0,0,0,0,5.2010000000000005,0,0,0,47.006,0,0,0,5.463,0,0,0
Linalool,1.4590000000000001,23.999,19.506,0,0,0,0,0,0,11.388,0,0,3.8840000000000003,27.935,11.803999999999998,0,4.363,1.8210000000000002,134.963,0,0,0,0,0,0,5.183999999999999,4.199,0,0,27.728,12.018,0,0,5.686999999999999,10.661000000000001,0,0,0,0,0,0,0,3.099,0,0,0,4.711,0,0,0,279.802,0,0,0,0,0,0,14.014,21.558,0,0,264.588,26.999,0,0,12.242999999999999,1.8279999999999998,0,1.4590000000000001
m-Camphorene,2.1419999999999999,2.233,2.048,5.7650000000000006,0,0,0,0,0,0,0,0,0.5700000000000001,5.4159999999999995,0.939,3.665,1.1300000000000001,4.783,71.106,1.2850000000000001,0,0,0,0,0,0,0,0,2.105,0.777,0.6819999999999999,1.847,7.055,1.4480000000000002,1.021,7.055,0,0,0,0,0,0,0,0,16.933,2.2359999999999998,1.113,0.6779999999999999,1.645,0,136.248,12.702,0,0,0,0,0,0,0,0,4.111000000000001,60.244,8.068999999999999,24.572,3.83,0.878,0.707,0.906,2.1419999999999999
Myroxide,0.58899999999999997,0,0,1.254,0,0,0,0,0,0,0,0,1.207,1.7069999999999999,1.25,1.236,0.996,1.636,5.743,0,0,0,0,0,0,0,0,0,1.199,1.051,0.9760000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8579999999999999,0,1.683,0,8.767,6.027,0,0,0,0,0,0,0,0,0,0,1.218,0,1.6880000000000002,0,0,0,0.58899999999999997
n-Hexyl salicylate,0,6.077,0,0,0,0,0,0,0,0,0,0,0,0.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992,0,0,0,0,0,0,0,0,0,0,0,0.387,0,0,0,0.861,0,0,0,0.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonanal,8.1539999999999999,10.989,8.262,10.149999999999999,0,0,2.857,0,5.011,1.682,1.213,0,1.37,2.2239999999999998,2.0869999999999997,0,2.156,2.346,42.557,0.13,0,0.251,0.454,0,2.0949999999999998,5.255,1.5310000000000001,5.471,0.963,1.097,2.404,2.3899999999999997,4.197,3.7640000000000002,2.384,4.197,0,0,0.776,0,3.706,5.4030000000000005,0.333,0.619,8.411999999999999,0,0,0,0,5.4030000000000005,29.544999999999998,9.620999999999999,0,1.082,0,0,2.736,1.464,1.5,0,1.8679999999999999,20.637,1.691,15.611999999999998,0,0,0,0,8.1539999999999999
"Octanal, 2-(phenylmethylene)-",0,2.517,1.114,0,0,0,0,0,0,0,0,0,0,0.813,0,0,0,0,4.805,0,0,0,0,0,0,0,0,0,0,1.6600000000000001,1.007,0,0,1.017,0,0,0,0,0,0,0,0.535,0,0,0,0.856,0,0,0,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Octane, 1,1'-oxybis-",0,13.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42200000000000004,0,0,0,0,0,0,0,4.528,0,0.5700000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598,0,0,0,0,0,0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0.531,0,0,0
ortho tert-Butyl cyclohexyl acetate,0,7.086,0,0,0.65,0,0,0,0,6.6739999999999995,0,0,1.795,17.826,0,0,1.129,0.59,0,0.9660000000000001,0.249,0,0,0,0,1.557,0,0,0,7.788,0,0,0,1.42,0,0,0.27699999999999997,0.727,0,0,0,0.126,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,4.210999999999999,0,0,0,63.45399999999999,0,0,0,1.715,0,0,0
p-Camphorene,1.0230000000000001,1.366,1.227,1.1200000000000001,0,0,0,0,0,0,0,0,0.988,0.8340000000000001,1.7469999999999999,0.644,2.251,0.9089999999999999,12.364999999999998,0.721,0,0,0,0,0,0,0,0,1.016,1.135,0.747,1.1360000000000001,4.123,0.858,1.752,4.123,0,0,0,0,0,0,0,0,7.149,1.309,2.08,1.503,0.9520000000000001,0,30.261999999999997,2.464,0,0,0,0,0,0,0,0,0.73,10.857000000000001,1.5759999999999998,4.043,0.7889999999999999,2.359,0,0.529,1.0230000000000001
Patchouli alcohol,0,0,0,0,0,0,0,0,0,0,0.262,0,0,0,1.4849999999999999,0,0,0,14.556000000000001,0,0,0,0,0,0,0,0,0,0,0,1.953,0,0,0,2.432,0,0,0,0,0,0,0,0.593,0,0,0,1.083,0,0,0,16.806,0,0,0,0,0,0,0,0.862,0,0,0,0,0,0,0,0.484,0,0
"Pentanoic acid, 2,2,4-trimethyl-3-carboxyisopropyl, isobutyl ester",0,0,0,0,0,0,0.311,0,0,0,0,0,0,0,0,0,0,0,4.259,0,0.44999999999999996,0,0,0,0.366,0.732,0,0,0.5700000000000001,0.6519999999999999,0,0,0,0,0,0,0,0,0.20299999999999999,0.349,0.33099999999999996,0,0,0,0.8400000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santolina triene,1.714,2.196,1.671,0.90399999999999991,0,0,0,0,0,0,0,0,0.5700000000000001,0.932,1.06,0.748,0.635,0.475,19.371000000000002,0.696,0,0,0,0,0,0,0,0,1.924,0.766,1.319,1.012,0.6669999999999999,0.737,0.7530000000000001,0.6669999999999999,0,0,0,0,0,0,0,0,0,0.9550000000000001,2.392,0,0.633,0,10.333000000000002,44.132,0,0,0,0,0,0,0,0,0.55,14.86,0.766,9.274000000000001,2.02,0.68,0.6519999999999999,0.775,1.714
Seychellene,0,0,38.856,0,0,0,0,0,0,0,0.309,0,0,0,0,0,0,0,27.025000000000002,0,0,0,0,0,0,0,0,0,0,0,1.626,0,0,0,4.056,0,0,0,0,0,0,0,0.578,0,0,0,0,0,0,0,24.070999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6379999999999999,0,0
"Tetracontane, 3,5,24-trimethyl-",0.43099999999999999,0.741,0,0,0,0.173,0.214,0.151,0,0.283,0,0.207,0.522,0,0,0.514,0.71,0,0,0,0.133,0.245,0,0,0.52,0.926,0,0.307,0,0,0.707,0,0,0.666,0,0.9420000000000001,0.28,0.23900000000000002,0.28600000000000003,0.36700000000000005,0.536,0.063,0.594,0.2,0,1.006,1.251,0,0.551,0.063,0,0,0.32099999999999995,0.391,0.269,0.269,0,0.443,0.7240000000000001,0,0,0,0,0,0.538,0.591,0,0.474,0.43099999999999999
